id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
9.65116E+17,7931003,10/24/2012,"Chicago, IL",within an hour,100%,68%,t,South Loop/Printers Row,79,228,"['email', 'phone', 'work_email']",t,t,Near North Side,41.88853,-87.63399,Entire rental unit,Entire home/apt,2,1 bath,1,$170.00 ,90,1123,90,90,1123,1123,90,1123,t,30,60,90,365,13,0,0,8/31/2014,9/11/2019,4.92,4.92,4.92,4.85,4.92,5,4.46,f,72,72,0,0,0.11
7.64556E+17,734822179,9/13/2020,"Chicago, IL",within a few hours,75%,0%,f,Lower West Side,29,30,"['email', 'phone']",t,t,East Garfield Park,41.88496,-87.69635,Private room in home,Private room,2,1 shared bath,1,$38.00 ,32,1125,32,32,1125,1125,32,1125,t,30,60,90,365,0,0,0,,,,,,,,,,f,29,1,28,0,
51493537,981505567,12/8/2022,"Chicago, IL",within an hour,100%,90%,t,Rush & Division,9,10,"['email', 'phone']",t,t,Near North Side,41.89918777,-87.62687063,Entire rental unit,Entire home/apt,2,1 bath,1,$54.00 ,1,365,2,2,365,365,2,365,t,24,54,84,174,31,31,1,5/9/2023,12/3/2023,4.71,4.77,4.84,4.87,4.87,4.97,4.61,f,8,8,0,0,4.15
46026541,1041606182,6/19/2023,,within an hour,100%,99%,t,South Lawndale,3,3,"['email', 'phone']",t,t,South Lawndale,41.84520382,-87.71788101,Entire rental unit,Entire home/apt,2,1 bath,1,$62.00 ,1,365,2,2,365,365,2,365,t,0,0,0,0,21,21,3,7/1/2023,12/15/2023,4.68,4.82,4.68,4.64,4.82,4.32,4.59,t,3,3,0,0,3.68
5.90863E+17,632961395,12/11/2019,,within an hour,100%,100%,f,East Albany Park,16,23,"['email', 'phone']",t,t,Norwood Park,41.99203887,-87.78511286,Entire rental unit,Entire home/apt,4,1 bath,2,$56.00 ,1,365,2,2,1125,1125,2,1125,t,26,56,86,361,12,12,0,4/18/2023,10/30/2023,4.17,4.58,4.33,4.5,4.33,4.75,4.17,t,15,15,0,0,1.47
1.04291E+18,239726214,3/8/2017,"Chicago, IL",within an hour,100%,100%,t,Wicker Park,2,2,"['email', 'phone']",t,f,West Town,41.90762,-87.66768,Entire rental unit,Entire home/apt,3,1 bath,2,$99.00 ,2,1125,2,2,1125,1125,2,1125,t,0,0,0,0,170,37,0,6/5/2018,11/13/2023,4.95,4.96,4.94,4.98,4.98,4.95,4.91,f,2,2,0,0,2.52
7.96497E+17,136254602,4/20/2016,,,,,f,Pulaski Park,1,1,"['email', 'phone', 'work_email']",t,t,West Town,41.90175,-87.66801,Entire rental unit,Entire home/apt,2,1 bath,,"$1,200.00 ",32,1125,32,32,1125,1125,32,1125,t,0,0,0,0,0,0,0,,,,,,,,,,f,1,1,0,0,
5.44085E+17,100950174,12/3/2015,"Chicago, IL",within an hour,100%,98%,t,Andersonville,1,1,"['email', 'phone']",t,t,Edgewater,41.98688,-87.66738,Entire rental unit,Entire home/apt,5,1 bath,3,$261.00 ,2,30,2,2,1125,1125,2,1125,t,0,0,0,0,46,38,2,10/14/2022,12/4/2023,5,5,4.98,4.98,5,5,4.89,f,1,1,0,0,3.2
51735351,1044835854,6/27/2023,,within an hour,100%,97%,f,West Town,1,1,"['email', 'phone']",t,t,West Town,41.91154,-87.69407,Entire rental unit,Entire home/apt,4,2 baths,4,$80.00 ,2,365,2,7,1125,1125,6,1125,t,13,43,73,73,23,23,5,8/30/2023,12/4/2023,4.74,4.78,4.87,4.74,4.83,4.7,4.83,t,1,1,0,0,6.22
6.59956E+17,309700794,10/16/2017,,within an hour,100%,100%,f,West Lakeview,2,2,"['email', 'phone']",t,t,North Center,41.939255,-87.682321,Entire rental unit,Entire home/apt,8,1.5 baths,4,$74.00 ,32,365,32,32,32,1125,32,155.1,t,29,59,89,332,177,3,0,11/26/2017,8/8/2023,4.71,4.78,4.61,4.82,4.9,4.8,4.67,t,2,2,0,0,2.4
9.17292E+17,424626706,8/28/2018,"Chicago, IL",within an hour,100%,97%,t,Streeterville,31,36,"['email', 'phone']",t,t,Loop,41.87158,-87.62607,Private room in rental unit,Private room,2,1 private bath,1,$96.00 ,2,365,2,4,1125,1125,2.7,1125,t,23,44,44,44,8,8,1,10/20/2023,12/15/2023,5,5,5,5,5,5,5,f,20,18,2,0,4
8.38238E+17,237705410,3/2/2017,"Chicago, IL",within an hour,100%,100%,f,Lower West Side,1,3,"['email', 'phone', 'work_email']",t,t,Lower West Side,41.8534221,-87.66670037,Entire rental unit,Entire home/apt,6,2 baths,3,$80.00 ,2,365,2,2,365,365,2,365,t,30,60,90,90,12,12,0,5/8/2023,10/29/2023,4.33,4.5,4.42,4.83,4.83,4.75,4.25,f,1,1,0,0,1.6
25293703,870210386,12/7/2021,"Chicago, IL",within an hour,99%,99%,f,Near South Side,42,65,"['email', 'phone']",t,f,Near North Side,41.89321,-87.6316,Entire rental unit,Entire home/apt,4,1 bath,2,$244.00 ,2,1125,2,2,2,1125,2,108.5,t,19,45,75,304,27,21,0,9/2/2022,11/12/2023,4.74,4.74,4.78,4.74,4.67,4.89,4.48,f,41,36,5,0,1.71
6.57432E+17,837607639,8/16/2021,,within a day,63%,0%,f,Kelvyn Park,3,3,"['email', 'phone']",t,t,Belmont Cragin,41.92798,-87.74534,Private room in home,Private room,1,1 shared bath,1,$21.00 ,32,1125,32,32,1125,1125,32,1125,t,30,60,90,364,2,0,0,11/9/2021,12/22/2021,5,5,4.5,5,5,5,5,f,2,0,2,0,0.08
9.41436E+17,2237739,9/6/2011,"Chicago, IL",within an hour,96%,100%,f,Streeterville,13,47,"['email', 'phone']",t,t,Near South Side,41.86267495,-87.62293312,Entire rental unit,Entire home/apt,6,2 baths,3,$152.00 ,6,365,2,7,1125,1125,5.7,1125,t,8,35,65,238,25,25,2,5/23/2023,11/25/2023,5,5,4.92,4.96,4.76,4.88,4.76,t,13,13,0,0,3.57
48849566,497796210,3/14/2019,,within an hour,100%,100%,f,Bronzeville,3,3,"['email', 'phone']",t,t,Grand Boulevard,41.8209,-87.61176,Entire home,Entire home/apt,8,3.5 baths,5,$350.00 ,2,1125,2,2,1125,1125,2,1125,t,25,50,80,355,4,1,0,3/27/2022,9/30/2023,4.75,5,4.75,5,5,4.75,4.75,f,3,3,0,0,0.19
52731021,301258478,9/14/2017,"Chicago, IL",within an hour,100%,100%,t,Bucktown,1,1,"['email', 'phone']",t,f,Logan Square,41.920656,-87.681332,Entire guest suite,Entire home/apt,2,1 bath,1,$202.00 ,2,18,2,2,1125,1125,2,1125,t,0,0,0,0,296,31,4,10/15/2017,12/10/2023,4.92,4.94,4.95,4.95,4.95,4.9,4.83,f,1,1,0,0,3.94
1392594,960682634,9/20/2022,"Chicago, IL",within an hour,100%,87%,t,Portage Park,10,10,"['email', 'phone']",t,t,Portage Park,41.9613,-87.75547,Entire rental unit,Entire home/apt,2,1 bath,1,$53.00 ,1,90,2,2,1125,1125,2,1125,t,24,54,84,174,30,30,2,1/2/2023,12/11/2023,4.73,4.83,4.9,4.77,4.87,4.77,4.7,f,10,10,0,0,2.56
6990105,231792467,2/11/2017,"Chicago, IL",,,94%,t,West Town,1,1,"['email', 'phone', 'work_email']",t,t,West Town,41.89964,-87.67192,Entire condo,Entire home/apt,12,2.5 baths,7,$636.00 ,2,365,2,2,365,365,2,365,t,30,60,90,365,16,10,0,7/17/2022,9/17/2023,4.88,4.88,4.81,4.81,4.94,5,4.69,f,1,1,0,0,0.92
28522014,19702274,11/6/2013,,within an hour,100%,100%,f,West Town,6,6,"['email', 'phone']",t,t,Near West Side,41.87701,-87.64534,Entire condo,Entire home/apt,6,2 baths,3,$105.00 ,32,365,32,32,1125,1125,32,1125,t,3,33,63,161,2,2,0,9/19/2023,11/4/2023,4,4.5,3,4.5,4,5,3.5,f,6,6,0,0,0.66
6.0424E+17,18517131,10/6/2013,"Chicago, IL",within a few hours,100%,100%,f,Irving Park,1,2,"['email', 'phone']",t,t,Irving Park,41.95296917,-87.71045098,Private room in rental unit,Private room,1,1 bath,1,$45.00 ,32,365,32,32,365,365,32,365,t,26,26,26,26,0,0,0,,,,,,,,,,f,1,0,1,0,
24965357,214868994,12/16/2016,"New York, NY",within an hour,100%,97%,f,Cambridge,4820,6438,"['email', 'phone', 'work_email']",t,t,Edgewater,41.9839704,-87.655453,Entire rental unit,Entire home/apt,2,1 bath,1,$129.00 ,32,1125,32,366,1125,1125,354.1,1125,t,2,32,62,337,0,0,0,,,,,,,,,,f,643,643,0,0,
20834660,103337102,12/18/2015,"Chicago, IL",within an hour,100%,100%,t,River North,8,10,"['email', 'phone']",t,f,Near North Side,41.88893,-87.63022,Private room in loft,Private room,2,1 private bath,2,$100.00 ,1,1125,2,2,1125,1125,2,1125,t,0,0,0,0,368,73,4,11/25/2018,12/8/2023,4.87,4.87,4.63,4.96,4.98,4.98,4.88,t,8,0,8,0,5.97
40882597,99252214,11/22/2015,"Chicago, IL",within an hour,100%,28%,f,River North,34,74,"['email', 'phone']",t,f,Near West Side,41.88871,-87.64185,Entire serviced apartment,Entire home/apt,2,1 bath,1,$150.00 ,160,1124,160,160,1124,1124,160,1124,t,29,59,89,364,1,0,0,5/27/2017,5/27/2017,5,5,5,5,5,5,5,f,34,34,0,0,0.01
1.01165E+18,201564703,10/22/2016,,within an hour,91%,86%,t,Pilsen,34,44,"['email', 'phone']",t,t,Bridgeport,41.83384,-87.65234,Entire rental unit,Entire home/apt,4,1 bath,2,$68.00 ,32,370,32,32,370,370,32,370,t,19,49,79,354,10,0,0,2/13/2020,12/11/2022,5,5,4.9,5,5,5,5,f,34,34,0,0,0.21
6.62573E+17,333836531,1/10/2018,"Chicago, IL",within an hour,100%,91%,t,Lakeview,10,12,"['email', 'phone']",t,t,Lake View,41.93447,-87.64263,Entire rental unit,Entire home/apt,4,1 bath,2,$57.00 ,1,1125,2,2,1,1125,2,1065.9,t,17,47,77,167,75,27,1,7/23/2021,11/25/2023,4.67,4.76,4.76,4.88,4.91,4.97,4.6,f,10,10,0,0,2.56
8.32729E+17,1367206,6/9/2011,"Chicago, IL",within an hour,100%,99%,t,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,Lincoln Park,41.92751,-87.65011,Entire rental unit,Entire home/apt,4,1 bath,1,$171.00 ,1,1125,2,4,1125,1125,2,1125,t,30,60,90,365,84,10,1,2/2/2016,11/25/2023,4.75,4.79,4.95,4.76,4.55,4.95,4.39,t,23,23,0,0,0.88
5.90591E+17,870210386,12/7/2021,"Chicago, IL",within an hour,99%,99%,f,Near South Side,42,65,"['email', 'phone']",t,f,Near South Side,41.86274,-87.62473,Entire rental unit,Entire home/apt,6,2 baths,3,$444.00 ,1,1125,2,3,2,1125,2.2,112.2,t,16,30,55,282,62,11,2,12/21/2019,12/1/2023,4.76,4.79,4.6,4.71,4.6,4.82,4.68,f,41,36,5,0,1.27
7.49363E+17,214868994,12/16/2016,"New York, NY",within an hour,100%,97%,f,Cambridge,4820,6438,"['email', 'phone', 'work_email']",t,t,Loop,41.8860812,-87.6342223,Entire rental unit,Entire home/apt,2,1 bath,1,$100.00 ,32,1125,32,366,1125,1125,353.8,1125,t,25,55,85,360,0,0,0,,,,,,,,,,f,643,643,0,0,
1.00506E+18,381293066,5/20/2018,,within an hour,100%,100%,f,Avondale,1,1,"['email', 'phone']",t,f,Avondale,41.93926,-87.72058,Entire home,Entire home/apt,16,4 baths,17,$571.00 ,2,1125,2,3,1125,1125,2.1,1125,t,24,51,79,241,117,29,1,6/10/2018,11/24/2023,4.68,4.61,4.44,4.9,4.93,4.67,4.62,f,1,1,0,0,1.74
8.11443E+17,354377047,3/7/2018,"Chicago, IL",within an hour,100%,91%,f,River North,59,66,"['email', 'phone', 'work_email']",t,t,Near North Side,41.8918321,-87.6381974,Entire serviced apartment,Entire home/apt,4,2 baths,2,$213.00 ,32,365,32,32,365,365,32,365,t,30,60,90,365,0,0,0,,,,,,,,,,t,58,58,0,0,
1.02555E+18,1382147,6/11/2011,"Chicago, IL",within a few hours,100%,87%,f,Englewood,22,45,"['email', 'phone']",t,t,South Chicago,41.73905913,-87.56400183,Shared room in home,Shared room,1,2 shared baths,2,$29.00 ,32,365,32,32,365,365,32,365,t,23,53,83,358,1,1,0,6/25/2023,6/25/2023,2,3,2,1,4,1,2,f,22,0,2,20,0.17
50013067,97436042,11/10/2015,"Miami, FL",within an hour,80%,98%,f,South Shore,1,14,"['email', 'phone']",t,t,South Shore,41.76278233,-87.56472686,Entire home,Entire home/apt,8,2.5 baths,4,$254.00 ,1,365,2,2,365,365,2,365,t,29,59,89,269,1,1,0,10/28/2023,10/28/2023,1,1,1,1,1,1,1,f,1,1,0,0,0.58
24313609,99252214,11/22/2015,"Chicago, IL",within an hour,100%,28%,f,River North,34,74,"['email', 'phone']",t,f,Near North Side,41.88895,-87.63364,Entire rental unit,Entire home/apt,2,1 bath,1,$160.00 ,160,1123,160,160,1123,1123,160,1123,t,30,60,90,365,1,0,0,6/21/2018,6/21/2018,5,5,5,5,5,5,5,f,34,34,0,0,0.01
8.86674E+17,214868994,12/16/2016,"New York, NY",within an hour,100%,97%,f,Cambridge,4820,6438,"['email', 'phone', 'work_email']",t,t,Near North Side,41.8986092,-87.6206819,Entire rental unit,Entire home/apt,4,1 bath,2,$147.00 ,32,1125,32,366,1125,1125,353.4,1125,t,11,41,71,346,0,0,0,,,,,,,,,,f,643,643,0,0,
8.60942E+17,942722354,7/24/2022,"Chicago, IL",within an hour,100%,100%,t,Little Italy,1,3,"['email', 'phone']",t,t,Near West Side,41.86981948,-87.66183425,Entire rental unit,Entire home/apt,4,1 bath,2,$94.00 ,2,1125,2,2,1125,1125,2,1125,t,27,53,83,352,71,45,1,8/10/2022,11/25/2023,4.8,4.79,4.82,4.92,4.87,4.92,4.77,f,1,1,0,0,4.29
1.02344E+18,12495211,5/6/2013,"Fort Lauderdale, FL",within an hour,100%,67%,f,West Loop,1,2,"['email', 'phone']",t,t,Near West Side,41.88607313,-87.66372735,Entire rental unit,Entire home/apt,3,1 bath,1,$124.00 ,32,1125,32,32,1125,1125,32,1125,t,13,43,73,253,0,0,0,,,,,,,,,,f,1,1,0,0,
29655041,142054223,5/8/2016,"Chicago, IL",within an hour,100%,100%,f,Lake View,1,1,"['email', 'phone']",t,t,Lake View,41.94780312,-87.66456721,Private room in rental unit,Private room,1,1 shared bath,1,$47.00 ,3,14,3,4,1125,1125,3.7,1125,t,29,59,89,364,1,1,0,10/31/2023,10/31/2023,5,5,5,5,5,5,5,f,1,0,1,0,0.61
52685474,31031714,9/10/2015,"Chicago, IL",within an hour,100%,100%,t,Humboldt Park,4,4,"['email', 'phone']",t,t,Humboldt Park,41.8906137,-87.7168576,Entire rental unit,Entire home/apt,4,1 bath,3,$82.00 ,32,95,32,32,95,95,32,95,t,23,53,83,173,0,0,0,,,,,,,,,,f,4,1,3,0,
41616655,222125407,1/12/2017,,within an hour,99%,100%,t,Lincoln Park,24,26,"['email', 'phone']",t,t,Lower West Side,41.8563213,-87.6560896,Entire home,Entire home/apt,8,3 baths,4,$123.00 ,2,30,2,2,1125,1125,2,1125,t,0,0,0,0,39,39,3,4/9/2023,12/11/2023,4.88,4.9,4.85,4.75,5,4.63,4.83,t,22,22,0,0,4.61
7.76573E+17,851044550,10/1/2021,,within an hour,100%,100%,t,Park Boulevard,9,13,"['email', 'phone']",t,t,Douglas,41.83025,-87.62755,Private room in home,Private room,2,1.5 baths,1,$64.00 ,2,365,2,2,1125,1125,2,1125,t,27,57,78,243,3,3,0,9/4/2023,10/25/2023,5,5,5,5,5,5,5,f,9,0,9,0,0.85
14711066,4114727,4/2/2012,"Chicago, IL",,,,f,Hermosa,1,1,"['email', 'phone']",t,t,Hermosa,41.91394,-87.72486,Entire home,Entire home/apt,2,1 bath,1,$65.00 ,32,1125,32,32,1125,1125,32,1125,t,27,57,87,267,0,0,0,,,,,,,,,,f,1,1,0,0,
7.97215E+17,4842619,5/20/2012,"Chicago, IL",within an hour,100%,100%,t,Hyde Park,2,2,"['email', 'phone']",t,f,Hyde Park,41.79903,-87.59024,Entire home,Entire home/apt,7,2.5 baths,4,$314.00 ,2,7,2,3,7,7,2,7,t,0,0,0,0,7,7,1,5/7/2023,11/26/2023,5,5,5,5,5,5,4.75,f,1,1,0,0,0.93
54266986,99252214,11/22/2015,"Chicago, IL",within an hour,100%,28%,f,River North,34,74,"['email', 'phone']",t,f,Near North Side,41.89963,-87.62103,Entire rental unit,Entire home/apt,2,1 bath,1,$117.00 ,28,1121,5,28,1121,1121,27.1,1121,t,30,60,90,365,2,0,0,7/31/2021,11/20/2022,5,4.5,4.5,5,5,5,4.5,f,34,34,0,0,0.07
45337459,1090473790,11/6/2023,,within an hour,100%,92%,f,Douglas,18,18,"['email', 'phone']",t,t,Douglas,41.82565,-87.61736,Private room in home,Private room,2,1 private bath,1,$58.00 ,1,1125,2,2,1125,1125,2,1125,t,29,59,89,364,1,1,1,12/11/2023,12/11/2023,5,5,5,5,5,5,5,f,18,3,15,0,1
9.85576E+17,532213698,6/3/2019,"Chicago, IL",,,,f,North Center,1,1,"['email', 'phone']",t,t,North Center,41.95207,-87.68423,Entire rental unit,Entire home/apt,4,1 bath,2,$289.00 ,32,1125,32,32,1125,1125,32,1125,t,29,59,89,89,26,0,0,10/6/2019,11/15/2021,4.92,4.96,5,5,5,5,4.77,f,1,1,0,0,0.51
52309263,18998266,10/18/2013,"Chicago, IL",within a few hours,100%,100%,t,Hyde Park,3,4,"['email', 'phone', 'work_email']",t,t,Hyde Park,41.796158,-87.597801,Entire home,Entire home/apt,6,2.5 baths,4,$395.00 ,25,1125,5,25,1125,1125,24.3,1125,t,10,10,10,74,27,3,0,6/13/2016,8/5/2023,4.85,4.85,4.67,5,5,4.81,4.81,f,3,2,1,0,0.3
9.48557E+17,960682634,9/20/2022,"Chicago, IL",within an hour,100%,87%,t,Portage Park,10,10,"['email', 'phone']",t,t,Near North Side,41.90056,-87.64233,Entire rental unit,Entire home/apt,2,1 bath,1,$53.00 ,1,90,2,2,1,1125,2,1094.1,t,18,48,78,168,72,62,6,11/6/2022,12/7/2023,4.93,4.93,4.89,5,4.92,4.92,4.82,f,10,10,0,0,5.29
